,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
146,2015-12-29,WFT.TO,54.77,53.064791,86600,54.77,53.240002,52.459999
147,2015-12-24,WFT.TO,54.52,54.13127,34400,53.599998,54.310001,53.599998
148,2015-12-23,WFT.TO,53.860001,53.393703,93800,52.549999,53.57,52.049999
149,2015-12-22,WFT.TO,53.00,52.058113,136300,53.00,52.23,51.509998
150,2015-12-21,WFT.TO,53.470001,52.626237,167500,53.470001,52.799999,51.59
151,2015-12-18,WFT.TO,53.52,52.82558,406300,52.50,53.00,51.650002
152,2015-12-17,WFT.TO,53.400002,52.546502,164100,52.349998,52.720001,51.919998
153,2015-12-16,WFT.TO,53.310001,52.227555,319200,50.950001,52.470001,50.490002
154,2015-12-15,WFT.TO,50.810001,50.087488,165700,50.209999,50.32,49.650002
155,2015-12-14,WFT.TO,51.599998,49.390721,222800,51.139999,49.619999,48.830002
156,2015-12-11,WFT.TO,52.639999,50.814114,160500,52.470001,51.049999,50.740002
157,2015-12-10,WFT.TO,53.84,53.053717,207700,50.830002,53.299999,50.73
158,2015-12-09,WFT.TO,53.279999,50.595133,218700,51.810001,50.830002,50.389999
159,2015-12-08,WFT.TO,53.349998,51.660189,257400,52.169998,51.900002,51.240002
160,2015-12-07,WFT.TO,53.75,53.203026,127200,53.580002,53.450001,51.82
161,2015-12-04,WFT.TO,54.43,53.402103,138000,52.59,53.650002,52.099998
162,2015-12-03,WFT.TO,54.91,52.486352,123600,54.400002,52.73,52.470001
163,2015-12-02,WFT.TO,55.75,53.810208,260700,55.75,54.060001,53.630001
164,2015-12-01,WFT.TO,55.990002,55.402813,218100,55.139999,55.66,54.830002
165,2015-11-30,WFT.TO,55.09,54.566694,244000,53.919998,54.82,53.849998
166,2015-11-27,WFT.TO,54.48,53.471779,52900,53.700001,53.720001,53.130001
167,2015-11-26,WFT.TO,54.330002,53.392147,71600,53.259998,53.639999,52.66
168,2015-11-25,WFT.TO,53.040001,52.675472,116500,52.59,52.919998,52.419998
169,2015-11-24,WFT.TO,52.880001,52.396767,251900,52.029999,52.639999,51.040001
170,2015-11-23,WFT.TO,52.59,51.580557,172100,51.400002,51.82,50.779999
171,2015-11-20,WFT.TO,51.939999,51.132635,182600,50.900002,51.369999,50.060001
172,2015-11-19,WFT.TO,51.07,50.515501,311800,48.939999,50.75,48.23
173,2015-11-18,WFT.TO,48.950001,48.375434,412900,46.82,48.599998,46.82
174,2015-11-17,WFT.TO,47.220001,46.543936,200100,47.049999,46.759998,46.009998
175,2015-11-16,WFT.TO,47.32,46.474259,172000,46.220001,46.689999,45.509998
176,2015-11-13,WFT.TO,47.25,46.195554,125700,46.349998,46.41,45.529999
177,2015-11-12,WFT.TO,47.18,46.285139,157200,46.259998,46.50,45.580002
178,2015-11-11,WFT.TO,48.650002,46.822645,197300,46.099998,47.040001,46.099998
